《中华人民共和国合同法》第二百零六条,581639,  借款人应当按照约定的期限返还借款。对借款期限没有约定或者约定不明确，依照本法第六十一条的规定仍不能确定的，借款人可以随时返还；贷款人可以催告借款人在合理期限内返还。
《中华人民共和国民事诉讼法》第一百四十四条,556869, 被告经传票传唤，无正当理由拒不到庭的，或者未经法庭许可中途退庭的，可以缺席判决。
《中华人民共和国合同法》第二百零七条,276311,  借款人未按照约定的期限返还借款的，应当按照约定或者国家有关规定支付逾期利息。
《中华人民共和国民法通则》第一百零八条,227212, 债务应当清偿。暂时无力偿还的，经债权人同意或者人民法院裁决，可以由债务人分期偿还。有能力偿还拒不偿还的，由人民法院判决强制偿还。
《中华人民共和国民法通则》第九十条,169161, 合法的借贷关系受法律保护。
《中华人民共和国合同法》第二百零五条,166102,  借款人应当按照约定的期限支付利息。对支付利息的期限没有约定或者约定不明确，依照本法第六十一条的规定仍不能确定，借款期间不满一年的，应当在返还借款时一并支付；借款期间一年以上的，应当在每届满一年时支付，剩余期间不满一年的，应当在返还借款时一并支付。
《中华人民共和国合同法》第二百一十一条,165283,  自然人之间的借款合同对支付利息没有约定或者约定不明确的，视为不支付利息。自然人之间的借款合同约定支付利息的，借款的利率不得违反国家有关限制借款利率的规定。
《中华人民共和国合同法》第一百九十六条,127372,  借款合同是借款人向贷款人借款，到期返还借款并支付利息的合同。
《中华人民共和国合同法》第一百零七条,123122,  当事人一方不履行合同义务或者履行合同义务不符合约定的，应当承担继续履行、采取补救措施或者赔偿损失等违约责任。
《中华人民共和国民事诉讼法》第六十四条,107950, 当事人对自己提出的主张，有责任提供证据。当事人及其诉讼代理人因客观原因不能自行收集的证据，或者人民法院认为审理案件需要的证据，人民法院应当调查收集。人民法院应当按照法定程序，全面地、客观地审查核实证据。
《中华人民共和国民法通则》第八十四条,106675, 债是按照合同的约定或者依照法律的规定，在当事人之间产生的特定的权利和义务关系。享有权利的人是债权人，负有义务的人是债务人。债权人有权要求债务人按照合同的约定或者依照法律的规定履行义务。
《中华人民共和国合同法》第二百一十条,87024,  自然人之间的借款合同，自贷款人提供借款时生效。
《中华人民共和国担保法》第二十一条,86859, 保证担保的范围包括主债权及利息、违约金、损害赔偿金和实现债权的费用。保证合同另有约定的，按照约定。当事人对保证担保的范围没有约定或者约定不明确的，保证人应当对全部债务承担责任。
《中华人民共和国合同法》第六十条,84515,  当事人应当按照约定全面履行自己的义务。当事人应当遵循诚实信用原则，根据合同的性质、目的和交易习惯履行通知、协助、保密等义务。
《中华人民共和国担保法》第十八条,81590, 当事人在保证合同中约定保证人与债务人对债务承担连带责任的，为连带责任保证。连带责任保证的债务人在主合同规定的债务履行期届满没有履行债务的，债权人可以要求债务人履行债务，也可以要求保证人在其保证范围内承担保证责任。
《中华人民共和国民事诉讼法》第一百三十条,77069, 诉讼参与人和其他人应当遵守法庭规则。人民法院对违反法庭规则的人，可以予以训诫，责令退出法庭或者予以罚款、拘留。人民法院对哄闹、冲击法庭，侮辱、诽谤、威胁、殴打审判人员，严重扰乱法庭秩序的人，依法追究刑事责任；情节较轻的，予以罚款、拘留。
《中华人民共和国担保法》第十九条,74906, 当事人对保证方式没有约定或者约定不明确的，按照连带责任保证承担保证责任。
《中华人民共和国担保法》第三十一条,51579, 保证人承担保证责任后，有权向债务人追偿。
《最高人民法院关于审理民间借贷案件适用法律若干问题的规定》第二十九条,44268,借贷双方对逾期利率有约定的，从其约定，但以不超过年利率24%为限。 未约定逾期利率或者约定不明的，人民法院可以区分不同情况处理： （一）既未约定借期内的利率，也未约定逾期利率，出借人主张借款人自逾期还款之日起按照年利率6%支付资金占用期间利息的，人民法院应予支持； （二）约定了借期内的利率但未约定逾期利率，出借人主张借款人自逾期还款之日起按照借期内的利率支付资金占用期间利息的，人民法院应予支持。
《最高人民法院关于审理民间借贷案件适用法律若干问题的规定》第二十六条,36280,借贷双方约定的利率未超过年利率24%，出借人请求借款人按照约定的利率支付利息的，人民法院应予支持。 借贷双方约定的利率超过年利率36%，超过部分的利息约定无效。借款人请求出借人返还已支付的超过年利率36%部分的利息的，人民法院应予支持。
《最高人民法院关于人民法院审理借贷案件的若干意见》第六条,35995,N/A
《最高人民法院关于民事诉讼证据的若干规定》第二条,35155,N/A
《最高人民法院关于适用〈中华人民共和国婚姻法〉若干问题的解释（二）》第二十四条,31265,N/A
《中华人民共和国合同法》第八条,30198,  依法成立的合同，对当事人具有法律约束力。当事人应当按照约定履行自己的义务，不得擅自变更或者解除合同。依法成立的合同，受法律保护。
《中华人民共和国担保法》第二十六条,27975, 连带责任保证的保证人与债权人未约定保证期间的，债权人有权自主债务履行期届满之日起六个月内要求保证人承担保证责任。在合同约定的保证期间和前款规定的保证期间，债权人未要求保证人承担保证责任的，保证人免除保证责任。
《最高人民法院关于适用﹤中华人民共和国婚姻法﹥若干问题的解释（二）》第二十四条,26221,N/A
《中华人民共和国民事诉讼法》第一百四十二条,25120, 法庭辩论终结，应当依法作出判决。判决前能够调解的，还可以进行调解，调解不成的，应当及时判决。
《关于人民法院审理借贷案件的若干意见》第六条,23276,N/A
《中华人民共和国民法通则》第一百零六条,20876, 公民、法人违反合同或者不履行其他义务的，应当承担民事责任。公民、法人由于过错侵害国家的、集体的财产，侵害他人财产、人身的应当承担民事责任。没有过错，但法律规定应当承担民事责任的，应当承担民事责任。
《最高人民法院关于人民法院审理借贷案件的若干意见》第九条,19796,N/A
《中华人民共和国婚姻法》若干问题的解释（二）第二十四条,16476,  夫妻有相互继承遗产的权利。父母和子女有相互继承遗产的权利。
《中华人民共和国合同法》第一百一十四条,15963,  当事人可以约定一方违约时应当根据违约情况向对方支付一定数额的违约金，也可以约定因违约产生的损失赔偿额的计算方法。约定的违约金低于造成的损失的，当事人可以请求人民法院或者仲裁机构予以增加；约定的违约金过分高于造成的损失的，当事人可以请求人民法院或者仲裁机构予以适当减少。当事人就迟延履行约定违约金的，违约方支付违约金后，还应当履行债务。
《中华人民共和国合同法》第二百条,13872,  借款的利息不得预先在本金中扣除。利息预先在本金中扣除的，应当按照实际借款数额返还借款并计算利息。
《关于人民法院审理借贷案件的若干意见》第九条,13790,N/A
《中华人民共和国合同法》第四十四条,13200,  依法成立的合同，自成立时生效。法律、行政法规规定应当办理批准、登记等手续生效的，依照其规定。
《中华人民共和国婚姻法》第十九条,10505,  夫妻可以约定婚姻关系存续期间所得的财产以及婚前财产归各自所有、共同所有或部分各自所有、部分共同所有。约定应当采用书面形式。没有约定或约定不明确的，适用本法第十七条、第十八条的规定。夫妻对婚姻关系存续期间所得的财产以及婚前财产的约定，对双方具有约束力。夫妻对婚姻关系存续期间所得的财产约定归各自所有的，夫或妻一方对外所负的债务，第三人知道该约定的，以夫或妻一方所有的财产清偿。
